state,voice_index,econ_index,violence_pct
Andaman & Nicobar Islands,77.63,42.76,17.2
Andhra Pradesh,19.71,70.2,30.0
Arunachal Pradesh,53.51,61.16,24.8
Assam,48.86,40.86,32.0
Bihar,28.46,40.0,40.0
Chandigarh,67.65,46.44,9.7
Chhattisgarh,34.8,64.24,20.2
Dadra & Nagar Haveli and Daman & Diu,51.46,66.67,16.8
Goa,83.78,53.22,8.3
Gujarat,41.16,42.5,14.0
Haryana,30.17,33.01,18.2
Himachal Pradesh,74.8,35.75,8.3
Jammu & Kashmir,38.01,56.29,9.6
Jharkhand,38.15,53.86,31.5
Karnataka,28.22,84.89,44.4
Kerala,82.07,38.39,9.9
Ladakh,40.51,78.78,18.1
Lakshadweep,74.55,12.5,1.3
Madhya Pradesh,14.89,42.43,28.1
Maharashtra,40.46,37.89,25.2
Manipur,70.27,67.47,39.6
Meghalaya,59.16,65.17,16.0
Mizoram,90.49,40.4,10.9
NCT Delhi,64.34,27.87,22.6
Nagaland,91.75,18.94,6.4
Odisha,37.07,57.09,30.6
Puducherry,88.67,72.65,30.5
Punjab,50.79,59.95,11.6
Rajasthan,30.52,31.06,24.3
Sikkim,72.27,57.94,12.1
Tamil Nadu,67.23,80.99,38.1
Telangana,38.48,87.23,36.9
Tripura,41.78,27.94,20.7
Uttar Pradesh,26.74,39.31,34.8
Uttarakhand,49.44,34.66,15.1
West Bengal,33.61,28.2,27.0
